T_max,ta_acc_mean,unif_acc_mean,abs_delta_max,abs_delta_mean,ta_wins,ties,unif_wins,paired_t_pvalue,tost_pvalue,ci95_low_pp,ci95_high_pp,equivalence_margin_pp,n_pairs
25,70.69204315045624,70.63681198891562,2.0446197061365634,0.16339022153701166,3,18,6,0.5343624518154232,1.3926638624202288e-05,-0.12504948871375102,0.23551181179501898,0.5,27
50,70.59327383238899,70.57766833925541,0.2808988764044895,0.01560549313358275,1,17,0,0.331332762038679,1.0334242390566509e-16,-0.01731921937941888,0.048530205646584376,0.5,18
100,70.09383802204357,70.08761996026995,0.09920634920634885,0.006218061773617308,2,25,0,0.16831302168664983,8.69128792799749e-37,-0.002801066708157303,0.015237190255391919,0.5,27
