T_max,ta_acc_mean,unif_acc_mean,abs_delta_max,abs_delta_mean,ta_wins,ties,unif_wins,paired_t_pvalue,tost_pvalue,ci95_low_pp,ci95_high_pp,equivalence_margin_pp,n_pairs
25,21.574575989719147,21.579332221761703,0.07495305056177959,0.016451589865700156,7,3,8,0.48353871321198527,2.83431073141153e-23,-0.01876566186973197,0.009253197784613075,0.5,18
50,27.793061707531567,27.79524770034762,0.039213339116822565,0.012175999151316385,5,4,9,0.6136391206628018,1.5922288294067923e-26,-0.011152987380471623,0.006781001748353797,0.5,18
100,32.19884377301667,32.20065318848746,0.06798349633961309,0.015798336094785537,7,2,9,0.7402005228628423,8.499376154750527e-25,-0.013135539312089212,0.009516708370517813,0.5,18
